ds,atm,y
2017-01-01,0,68.0
2017-01-01,108,0.0
2017-01-01,105,0.0
2017-01-01,7,10.0
2017-01-01,86,0.0
2017-01-01,18,78.0
2017-01-01,19,84.0
2017-01-01,64,27.0
2017-01-01,38,50.0
2017-01-01,90,0.0
2017-01-01,83,4.0
2017-01-01,24,32.0
2017-01-01,78,11.0
2017-01-01,69,19.0
2017-01-01,33,49.0
2017-01-01,102,0.0
2017-01-01,36,44.0
2017-01-01,35,57.0
2017-01-01,67,21.0
2017-01-01,109,0.0
2017-01-01,46,34.0
2017-01-01,56,13.0
2017-01-01,3,39.0
2017-01-01,32,19.0
2017-01-01,4,23.0
2017-01-01,70,28.0
2017-01-01,107,0.0
2017-01-01,74,7.0
2017-01-01,66,25.0
2017-01-01,99,0.0
2017-01-01,103,0.0
2017-01-01,14,59.0
2017-01-01,91,0.0
2017-01-01,17,13.0
2017-01-01,50,42.0
2017-01-01,52,33.0
2017-01-01,9,98.0
2017-01-01,82,7.0
2017-01-01,25,22.0
2017-01-01,104,0.0
2017-01-01,8,28.0
2017-01-01,77,38.0
2017-01-01,22,30.0
2017-01-01,106,0.0
2017-01-01,6,29.0
2017-01-01,42,25.0
2017-01-01,60,13.0
2017-01-01,5,73.0
2017-01-01,21,44.0
2017-01-01,27,50.0
2017-01-01,75,12.0
2017-01-01,30,30.0
2017-01-01,58,8.0
2017-01-01,10,73.0
2017-01-01,48,28.0
2017-01-01,59,40.0
2017-01-01,84,21.0
2017-01-01,55,19.0
2017-01-01,54,25.0
2017-01-01,34,53.0
2017-01-01,43,5.0
2017-01-01,62,9.0
2017-01-01,40,43.0
2017-01-01,65,32.0
2017-01-01,41,16.0
2017-01-01,61,58.0
2017-01-01,31,39.0
2017-01-01,71,17.0
2017-01-01,44,70.0
2017-01-01,47,52.0
2017-01-01,45,20.0
2017-01-01,68,33.0
2017-01-01,79,18.0
2017-01-01,57,48.0
2017-01-01,76,9.0
2017-01-01,26,19.0
2017-01-01,23,56.0
2017-01-01,37,16.0
2017-01-01,20,34.0
2017-01-01,98,0.0
2017-01-01,12,37.0
2017-01-01,39,51.0
2017-01-01,100,0.0
2017-01-01,63,27.0
2017-01-01,16,49.0
2017-01-02,42,103.0
2017-01-02,6,92.0
2017-01-02,22,33.0
2017-01-02,55,47.0
2017-01-02,106,0.0
2017-01-02,44,1.0
2017-01-02,47,137.0
2017-01-02,57,111.0
2017-01-02,99,0.0
2017-01-02,103,0.0
2017-01-02,12,0.0
2017-01-02,66,59.0
2017-01-02,14,121.0
2017-01-02,100,0.0
2017-01-02,77,0.0
2017-01-02,50,0.0
2017-01-02,52,0.0
2017-01-02,48,42.0
2017-01-02,9,202.0
2017-01-02,82,24.0
2017-01-02,54,52.0
2017-01-02,25,93.0
2017-01-02,61,74.0
2017-01-02,45,93.0
2017-01-02,60,13.0
2017-01-02,107,0.0
2017-01-02,5,68.0
2017-01-02,31,68.0
2017-01-02,71,33.0
2017-01-02,10,102.0
2017-01-02,35,1.0
2017-01-02,68,0.0
2017-01-02,67,62.0
2017-01-02,102,0.0
2017-01-02,109,0.0
2017-01-02,98,1.0
2017-01-02,3,0.0
2017-01-02,32,65.0
2017-01-02,70,82.0
2017-01-02,16,93.0
2017-01-02,58,23.0
2017-01-02,39,176.0
2017-01-02,21,127.0
2017-01-02,78,23.0
2017-01-02,83,29.0
2017-01-02,79,66.0
2017-01-02,23,3.0
2017-01-02,74,0.0
2017-01-02,63,100.0
2017-01-02,105,0.0
2017-01-02,41,51.0
2017-01-02,24,63.0
2017-01-02,7,43.0
2017-01-02,20,0.0
2017-01-02,19,206.0
2017-01-02,64,88.0
2017-01-02,84,37.0
2017-01-02,34,131.0
2017-01-02,38,0.0
2017-01-02,86,114.0
2017-01-02,36,63.0
2017-01-02,30,56.0
2017-01-02,33,0.0
2017-01-02,90,105.0
2017-01-02,69,40.0
2017-01-02,40,127.0
2017-01-02,18,121.0
2017-01-02,46,27.0
2017-01-02,17,52.0
2017-01-02,56,32.0
2017-01-02,37,60.0
2017-01-02,65,68.0
2017-01-02,91,119.0
2017-01-02,104,0.0
2017-01-02,8,99.0
2017-01-02,76,13.0
2017-01-02,75,0.0
2017-01-02,26,46.0
2017-01-02,43,7.0
2017-01-02,4,0.0
2017-01-02,27,147.0
2017-01-02,59,104.0
2017-01-02,108,0.0
2017-01-02,0,130.0
2017-01-02,62,43.0
2017-01-03,38,0.0
2017-01-03,47,115.0
2017-01-03,79,65.0
2017-01-03,21,0.0
2017-01-03,64,81.0
2017-01-03,54,46.0
2017-01-03,7,30.0
2017-01-03,37,80.0
2017-01-03,42,65.0
2017-01-03,18,120.0
2017-01-03,61,90.0
2017-01-03,74,0.0
2017-01-03,55,46.0
2017-01-03,105,0.0
2017-01-03,60,13.0
2017-01-03,107,0.0
2017-01-03,5,41.0
2017-01-03,90,72.0
2017-01-03,27,113.0
2017-01-03,65,51.0
2017-01-03,30,67.0
2017-01-03,75,0.0
2017-01-03,4,0.0
2017-01-03,24,47.0
2017-01-03,19,151.0
2017-01-03,78,24.0
2017-01-03,20,0.0
2017-01-03,59,60.0
2017-01-03,84,47.0
2017-01-03,62,36.0
2017-01-03,31,48.0
2017-01-03,108,0.0
2017-01-03,71,21.0
2017-01-03,68,0.0
2017-01-03,63,0.0
2017-01-03,98,0.0
2017-01-03,26,0.0
2017-01-03,44,153.0
2017-01-03,76,11.0
2017-01-03,58,17.0
2017-01-03,41,48.0
2017-01-03,16,76.0
2017-01-03,70,59.0
2017-01-03,83,19.0
2017-01-03,23,0.0
2017-01-03,102,0.0
2017-01-03,10,100.0
2017-01-03,39,126.0
2017-01-03,35,0.0
2017-01-03,69,38.0
2017-01-03,46,16.0
2017-01-03,109,0.0
2017-01-03,56,30.0
2017-01-03,3,0.0
2017-01-03,67,46.0
2017-01-03,32,42.0
2017-01-03,43,0.0
2017-01-03,33,0.0
2017-01-03,6,75.0
2017-01-03,34,114.0
2017-01-03,48,43.0
2017-01-03,77,0.0
2017-01-03,66,43.0
2017-01-03,8,63.0
2017-01-03,104,0.0
2017-01-03,0,142.0
2017-01-03,25,79.0
2017-01-03,91,79.0
2017-01-03,22,0.0
2017-01-03,14,96.0
2017-01-03,82,32.0
2017-01-03,57,86.0
2017-01-03,99,0.0
2017-01-03,45,62.0
2017-01-03,100,0.0
2017-01-03,106,0.0
2017-01-03,36,65.0
2017-01-03,50,0.0
2017-01-03,17,36.0
2017-01-03,103,0.0
2017-01-03,40,66.0
2017-01-03,86,93.0
2017-01-03,12,0.0
2017-01-03,9,153.0
2017-01-03,52,0.0
2017-01-04,26,53.0
2017-01-04,37,56.0
2017-01-04,78,19.0
2017-01-04,40,72.0
2017-01-04,103,102.0
2017-01-04,24,53.0
2017-01-04,76,17.0
2017-01-04,44,150.0
2017-01-04,69,32.0
2017-01-04,45,51.0
2017-01-04,9,160.0
2017-01-04,79,65.0
2017-01-04,91,41.0
2017-01-04,82,15.0
2017-01-04,90,18.0
2017-01-04,70,57.0
2017-01-04,38,189.0
2017-01-04,50,0.0
2017-01-04,17,30.0
2017-01-04,109,0.0
2017-01-04,62,45.0
2017-01-04,32,69.0
2017-01-04,33,0.0
2017-01-04,67,50.0
2017-01-04,46,26.0
2017-01-04,52,0.0
2017-01-04,35,75.0
2017-01-04,43,0.0
2017-01-04,83,19.0
2017-01-04,14,105.0
2017-01-04,56,20.0
2017-01-04,54,49.0
2017-01-04,10,95.0
2017-01-04,100,62.0
2017-01-04,16,81.0
2017-01-04,102,45.0
2017-01-04,66,58.0
2017-01-04,7,11.0
2017-01-04,23,169.0
2017-01-04,41,40.0
2017-01-04,58,13.0
2017-01-04,39,126.0
2017-01-04,98,0.0
2017-01-04,3,114.0
2017-01-04,34,118.0
2017-01-04,21,54.0
2017-01-04,22,39.0
2017-01-04,71,24.0
2017-01-04,65,48.0
2017-01-04,0,101.0
2017-01-04,30,69.0
2017-01-04,57,79.0
2017-01-04,27,87.0
2017-01-04,75,5.0
2017-01-04,99,71.0
2017-01-04,77,75.0
2017-01-04,42,87.0
2017-01-04,74,13.0
2017-01-04,108,0.0
2017-01-04,86,73.0
2017-01-04,4,49.0
2017-01-04,84,6.0
2017-01-04,107,0.0
2017-01-04,12,119.0
2017-01-04,105,0.0
2017-01-04,60,15.0
2017-01-04,19,117.0
2017-01-04,6,56.0
2017-01-04,20,122.0
2017-01-04,8,61.0
2017-01-04,5,50.0
2017-01-04,104,26.0
2017-01-04,63,63.0
2017-01-04,64,82.0
2017-01-04,61,72.0
2017-01-04,48,34.0
2017-01-04,68,80.0
2017-01-04,18,93.0
2017-01-04,47,103.0
2017-01-04,55,36.0
2017-01-04,106,0.0
2017-01-04,25,68.0
2017-01-04,59,66.0
2017-01-04,36,56.0
2017-01-04,31,40.0
2017-01-05,67,54.0
2017-01-05,3,83.0
2017-01-05,84,44.0
2017-01-05,32,47.0
2017-01-05,43,9.0
2017-01-05,36,59.0
2017-01-05,59,87.0
2017-01-05,100,50.0
2017-01-05,12,123.0
2017-01-05,56,34.0
2017-01-05,34,98.0
2017-01-05,26,43.0
2017-01-05,41,41.0
2017-01-05,44,147.0
2017-01-05,68,81.0
2017-01-05,0,120.0
2017-01-05,63,58.0
2017-01-05,91,47.0
2017-01-05,71,23.0
2017-01-05,76,7.0
2017-01-05,58,12.0
2017-01-05,70,72.0
2017-01-05,98,0.0
2017-01-05,66,46.0
2017-01-05,25,79.0
2017-01-05,16,81.0
2017-01-05,33,0.0
2017-01-05,31,54.0
2017-01-05,103,96.0
2017-01-05,57,89.0
2017-01-05,45,54.0
2017-01-05,79,50.0
2017-01-05,42,86.0
2017-01-05,86,47.0
2017-01-05,9,130.0
2017-01-05,7,28.0
2017-01-05,50,24.0
2017-01-05,104,40.0
2017-01-05,19,131.0
2017-01-05,20,108.0
2017-01-05,8,65.0
2017-01-05,22,78.0
2017-01-05,106,0.0
2017-01-05,69,41.0
2017-01-05,64,99.0
2017-01-05,18,118.0
2017-01-05,60,13.0
2017-01-05,27,90.0
2017-01-05,107,0.0
2017-01-05,75,3.0
2017-01-05,105,0.0
2017-01-05,65,42.0
2017-01-05,30,81.0
2017-01-05,77,58.0
2017-01-05,61,94.0
2017-01-05,74,28.0
2017-01-05,17,39.0
2017-01-05,55,36.0
2017-01-05,48,56.0
2017-01-05,5,58.0
2017-01-05,90,27.0
2017-01-05,109,0.0
2017-01-05,6,71.0
2017-01-05,40,74.0
2017-01-05,35,80.0
2017-01-05,54,47.0
2017-01-05,52,0.0
2017-01-05,39,120.0
2017-01-05,47,95.0
2017-01-05,10,83.0
2017-01-05,46,31.0
2017-01-05,99,61.0
2017-01-05,24,18.0
2017-01-05,14,96.0
2017-01-05,21,99.0
2017-01-05,102,35.0
2017-01-05,23,156.0
2017-01-05,108,0.0
2017-01-05,83,14.0
2017-01-05,62,50.0
2017-01-05,38,164.0
2017-01-05,78,23.0
2017-01-05,82,24.0
2017-01-05,37,60.0
2017-01-05,4,57.0
2017-01-06,62,56.0
2017-01-06,65,66.0
2017-01-06,61,104.0
2017-01-06,47,103.0
2017-01-06,43,17.0
2017-01-06,45,35.0
2017-01-06,48,50.0
2017-01-06,63,81.0
2017-01-06,0,124.0
2017-01-06,79,63.0
2017-01-06,34,126.0
2017-01-06,41,51.0
2017-01-06,37,69.0
2017-01-06,108,0.0
2017-01-06,100,51.0
2017-01-06,23,148.0
2017-01-06,55,43.0
2017-01-06,54,53.0
2017-01-06,12,118.0
2017-01-06,57,103.0
2017-01-06,36,70.0
2017-01-06,84,72.0
2017-01-06,21,111.0
2017-01-06,42,89.0
2017-01-06,27,104.0
2017-01-06,5,68.0
2017-01-06,74,31.0
2017-01-06,30,72.0
2017-01-06,22,120.0
2017-01-06,105,0.0
2017-01-06,107,0.0
2017-01-06,60,24.0
2017-01-06,20,109.0
2017-01-06,18,137.0
2017-01-06,64,100.0
2017-01-06,19,150.0
2017-01-06,75,4.0
2017-01-06,6,64.0
2017-01-06,4,45.0
2017-01-06,86,57.0
2017-01-06,25,79.0
2017-01-06,99,74.0
2017-01-06,40,75.0
2017-01-06,103,107.0
2017-01-06,91,53.0
2017-01-06,66,53.0
2017-01-06,50,95.0
2017-01-06,52,37.0
2017-01-06,14,112.0
2017-01-06,82,21.0
2017-01-06,106,0.0
2017-01-06,104,44.0
2017-01-06,9,187.0
2017-01-06,77,84.0
2017-01-06,17,34.0
2017-01-06,7,42.0
2017-01-06,102,41.0
2017-01-06,46,25.0
2017-01-06,33,0.0
2017-01-06,68,101.0
2017-01-06,70,58.0
2017-01-06,44,154.0
2017-01-06,58,33.0
2017-01-06,26,62.0
2017-01-06,76,13.0
2017-01-06,16,75.0
2017-01-06,8,77.0
2017-01-06,67,59.0
2017-01-06,3,101.0
2017-01-06,59,80.0
2017-01-06,71,40.0
2017-01-06,109,0.0
2017-01-06,56,29.0
2017-01-06,31,78.0
2017-01-06,69,34.0
2017-01-06,24,30.0
2017-01-06,90,40.0
2017-01-06,78,18.0
2017-01-06,38,165.0
2017-01-06,83,20.0
2017-01-06,32,51.0
2017-01-06,98,11.0
2017-01-06,39,111.0
2017-01-06,35,81.0
2017-01-06,10,107.0
2017-01-07,33,0.0
2017-01-07,12,72.0
2017-01-07,108,0.0
2017-01-07,99,0.0
2017-01-07,4,33.0
2017-01-07,68,81.0
2017-01-07,40,80.0
2017-01-07,7,31.0
2017-01-07,14,91.0
2017-01-07,82,25.0
2017-01-07,70,54.0
2017-01-07,48,42.0
2017-01-07,62,42.0
2017-01-07,22,82.0
2017-01-07,21,12.0
2017-01-07,34,92.0
2017-01-07,54,49.0
2017-01-07,105,0.0
2017-01-07,32,57.0
2017-01-07,39,95.0
2017-01-07,83,12.0
2017-01-07,57,86.0
2017-01-07,69,30.0
2017-01-07,109,0.0
2017-01-07,5,53.0
2017-01-07,25,57.0
2017-01-07,10,86.0
2017-01-07,36,39.0
2017-01-07,35,68.0
2017-01-07,3,82.0
2017-01-07,67,22.0
2017-01-07,103,0.0
2017-01-07,91,0.0
2017-01-07,86,72.0
2017-01-07,16,78.0
2017-01-07,58,1.0
2017-01-07,44,125.0
2017-01-07,98,0.0
2017-01-07,27,82.0
2017-01-07,104,0.0
2017-01-07,66,67.0
2017-01-07,38,127.0
2017-01-07,50,70.0
2017-01-07,77,63.0
2017-01-07,42,84.0
2017-01-07,100,37.0
2017-01-07,9,123.0
2017-01-07,74,20.0
2017-01-07,30,83.0
2017-01-07,106,0.0
2017-01-07,107,0.0
2017-01-07,60,13.0
2017-01-07,64,62.0
2017-01-07,19,132.0
2017-01-07,102,0.0
2017-01-07,52,45.0
2017-01-07,24,45.0
2017-01-07,78,21.0
2017-01-07,75,14.0
2017-01-07,18,112.0
2017-01-07,17,25.0
2017-01-07,84,46.0
2017-01-07,76,4.0
2017-01-07,26,33.0
2017-01-07,8,61.0
2017-01-07,56,19.0
2017-01-07,55,36.0
2017-01-07,37,63.0
2017-01-07,41,44.0
2017-01-07,23,120.0
2017-01-07,43,13.0
2017-01-07,61,88.0
